procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0 106980 3716380 383692 2755064    0    0     0   154  259  527  1  1 99  0  0
 0  0 106980 3714208 383692 2755088    0    0     0     4  253  521  1  1 99  0  0
 0  0 106980 3714084 383692 2755120    0    0     0     0  251  524  0  0 99  0  0
 0  0 106980 3713836 383692 2755120    0    0     0   172  269  537  4  0 96  0  0
 0  0 106980 3716728 383692 2755124    0    0     0     8  260  533  1  1 98  0  0
 0  0 106980 3716752 383692 2755132    0    0     0    14  264  543  1  1 99  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0 106980 3714704 383692 2755152    0    0     0    48  257  523  1  1 98  1  0
 0  0 106980 3714704 383692 2755152    0    0     0     0  245  502  1  0 99  0  0
 0  0 106980 3714704 383692 2755152    0    0     0    34  251  525  1  0 99  0  0
 0  0 106980 3716556 383692 2755152    0    0     0    42  248  535  0  1 98  1  0
 0  0 106980 3716628 383692 2755160    0    0     0     2  238  513  1  0 99  0  0
 0  0 106980 3714456 383692 2755244    0    0     0    14  252  518  1  0 99  0  0
 0  0 106980 3714456 383692 2755244    0    0     0    58  267  561  1  1 99  0  0
 0  0 106980 3714456 383692 2755244    0    0     0     0  231  498  1  1 99  0  0
 0  0 106980 3716500 383692 2755252    0    0     0    54  260  558  1  1 98  0  0
 0  0 106980 3716504 383692 2755260    0    0     0   752  265  542  0  0 100  0  0
 0  0 106980 3714456 383692 2755288    0    0     0     2  245  511  0  1 98  0  0
 0  0 106980 3716380 383692 2755296    0    0     0    74  254  532  1  0 77 22  0
 0  0 106980 3714024 383692 2755316    0    0     0    42  270  548  3  1 96  0  0
 0  0 106980 3716572 383692 2755236    0    0     0    66  264  557  1  1 98  0  0
 0  0 106980 3716628 383692 2755208    0    0     0    18  262  522  0  0 100  0  0
 0  0 106980 3716628 383692 2755208    0    0     0     0  254  518  1  0 99  0  0
 0  0 106980 3716628 383692 2755208    0    0     0    64  259  515  1  1 99  0  0
 0  0 106980 3714520 383692 2755208    0    0     0    86  277  550  1  1 98  0  0
 0  0 106980 3716464 383692 2755312    0    0     0    12  270  553  1  1 98  0  0
 0  0 106980 3716504 383692 2755292    0    0     0   102  260  525  0  0 100  0  0
 1  0 106980 3714272 383692 2755292    0    0     0     6  284  573  1  0 99  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0 106980 3714332 383692 2755316    0    0     0     0  255  508  1  1 99  0  0
 0  0 106980 3714332 383692 2755316    0    0     0    60  250  531  1  0 99  1  0
 0  0 106980 3716372 383692 2755316    0    0     0     8  238  523  1  1 98  0  0
 0  0 106980 3716472 383692 2755324    0    0     0    12  243  521  0  0 99  1  0
 3  0 106980 3714268 383692 2755360    0    0     0    70  250  517  1  1 98  1  0
 2  0 106980 3714332 383692 2755360    0    0     0     2  240  521  0  1 99  0  0
 0  0 106980 3713548 383692 2755392    0    0     0    10  258  532  3  1 96  0  0
 0  0 106980 3716352 383692 2755400    0    0     0    54  258  547  2  1 97  0  0
 1  0 106980 3716380 383692 2755416    0    0     0   348  247  523  0  1 99  0  0
 0  0 106980 3716380 383696 2755412    0    0     0    46  241  506  1  1 99  1  0
 0  0 106980 3716380 383696 2755416    0    0     0    50  237  502  1  1 99  0  0
 0  0 106980 3714332 383696 2755364    0    0     0    36  252  541  2  1 98  0  0
 0  0 106980 3716308 383696 2755368    0    0     0     4  249  528  0  1 99  0  0
 0  0 106980 3716380 383696 2755376    0    0     0   140  242  502  1  0 99  0  0
 0  0 106980 3714332 383696 2755392    0    0     0    12  257  523  1  1 99  1  0
 0  0 106980 3714332 383696 2755392    0    0     0     2  246  507  1  1 99  0  0
 0  0 106980 3714332 383696 2755396    0    0     0    64  236  510  1  0 99  0  0
 0  0 106980 3716364 383696 2755404    0    0     0    10  268  561  2  1 98  0  0
 0  0 106980 3716380 383696 2755412    0    0     0    18  268  532  0  0 100  0  0
 0  0 106980 3714332 383696 2755428    0    0     0    86  296  617  1  1 97  0  0
 0  0 106980 3714332 383696 2755436    0    0     0     0  255  530  0  1 99  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0 106980 3714208 383696 2755448    0    0     0    42  249  537  3  0 97  0  0
 0  0 106980 3714636 383696 2755472    0    0     0    48  247  535  1  2 98  0  0
 0  0 106980 3714644 383696 2755488    0    0     0     0  243  514  1  0 99  0  0
 0  0 106980 3716164 383696 2755588    0    0     0    22  271  584  1  1 99  0  0
 0  0 106980 3716256 383696 2755564    0    0     0    56  235  503  1  0 99  0  0
 0  0 106980 3714296 383696 2755400    0    0     0   402  252  543  2  1 98  0  0
 0  0 106980 3714332 383696 2755416    0    0     0     8  245  512  1  1 99  1  0
 0  0 106980 3716380 383696 2755436    0    0     0    88  240  497  1  1 99  0  0
 0  0 106980 3714164 383696 2755436    0    0     0     8  258  553  1  1 98  0  0
 0  0 106980 3714208 383696 2755444    0    0     0     2  236  501  1  0 99  0  0
 0  0 106980 3714332 383696 2755444    0    0     0   132  247  506  0  0 100  0  0
 0  0 106980 3716248 383696 2755448    0    0     0     8  248  537  1  1 90  9  0
 1  0 106980 3716256 383696 2755456    0    0     0    48  246  518  1  0 99  0  0
 0  0 106980 3714108 383696 2755476    0    0     0    12  255  530  1  1 98  0  0
 0  0 106980 3714208 383696 2755372    0    0     0     0  262  543  1  0 99  0  0
 0  0 106980 3713712 383696 2755372    0    0     0    74  277  549  3  0 97  0  0
 0  0 106980 3716344 383696 2755408    0    0     0    16  273  574  1  1 98  0  0
 0  0 106980 3713900 383696 2755348    0    0     0    28  276  583  2  0 98  0  0
 1  0 106980 3716380 383696 2755388    0    0     0    76  276  558  1  1 99  0  0
 0  0 106980 3716380 383696 2755388    0    0     0     0  268  523  0  0 100  0  0
 1  0 106980 3716380 383696 2755388    0    0     0    42  269  542  1  0 99  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0 106980 3714420 383696 2755304    0    0     0    40  274  563  1  1 98  0  0
 0  0 106980 3714456 383696 2755288    0    0     0     6  268  528  1  0 99  0  0
 0  0 106980 3716500 383696 2755304    0    0     0    34  292  544  1  1 98  0  0
 0  0 106980 3716504 383696 2755304    0    0     0    66  267  537  1  1 99  1  0
 0  0 106980 3716504 383696 2755304    0    0     0     4  263  532  1  0 99  0  0
 0  0 106980 3714392 383696 2755312    0    0     0    52  273  570  0  1 99  0  0
 0  0 106980 3714456 383696 2755320    0    0     0    64  278  540  1  0 99  0  0
 0  0 106980 3716476 383696 2755336    0    0     0    12  257  541  1  1 99  0  0
 0  0 106980 3716504 383696 2755336    0    0     0    64  258  557  1  0 99  0  0
 0  0 106980 3714288 383696 2755400    0    0     0    42  295  591  4  1 95  1  0
 0  0 106980 3716324 383696 2755456    0    0     0     4  279  572  2  1 98  0  0
 0  0 106980 3716380 383696 2755464    0    0     0   110  275  537  0  0 99  1  0
 0  0 106980 3714332 383696 2755484    0    0     0     2  273  539  1  1 99  0  0
 0  0 106980 3714332 383696 2755484    0    0     0     0  253  517  1  1 99  0  0
 0  0 106980 3716344 383696 2755436    0    0     0    62  267  566  2  1 98  0  0
 0  0 106980 3716380 383696 2755376    0    0     0     4  248  525  0  0 100  0  0
 0  0 106980 3714332 383696 2755396    0    0     0    24  246  505  1  1 99  0  0
 0  0 106980 3716356 383696 2755396    0    0     0    72  267  570  1  1 99  0  0
 1  0 106980 3716380 383696 2755404    0    0     0     0  238  496  0  0 99  0  0
